lambda,epsilon,S(epsilon),E_disc,lambda*E_disc,L(epsilon)
1e+19,0.0001,9.210440366976517,3.81308091399814e-20,0.381308091399814,8.829132275576702
1e+19,0.00010304892800279572,9.18040969699074,3.800646954495972e-20,0.38006469544959726,8.800345001541142
1e+19,0.00010619081562525365,9.150379119945423,3.788212994993804e-20,0.3788212994993804,8.771557820446043
1e+19,0.0001094284971392492,9.12034863867365,3.775779035491636e-20,0.37757790354916365,8.742770735124488
1e+19,0.00011276489323156629,9.09031825609485,3.763345075989468e-20,0.3763345075989468,8.713983748495902
1e+19,0.00011620301363862609,9.060287975217424,3.750911116487301e-20,0.3750911116487301,8.685196863568693
1e+19,0.0001197459598615467,9.030257799141449,3.738477156985133e-20,0.37384771569851327,8.656410083442935
1e+19,0.00012339692796398192,9.00022773106148,3.726043197482965e-20,0.3726043197482965,8.627623411313184
1e+19,0.0001271592114552653,8.97019777426943,3.7136092379807974e-20,0.3713609237980797,8.59883685047135
1e+19,0.00013103620426145913,8.94016793215752,3.7011752784786294e-20,0.37011752784786295,8.570050404309656
1e+19,0.00013503140378698736,8.910138208221348,3.6887413189764614e-20,0.3688741318976461,8.541264076323701
1e+19,0.00013914841406961683,8.880108606063038,3.6763073594742933e-20,0.36763073594742934,8.512477870115609
1e+19,0.00014339094903163154,8.850079129394473,3.6638733999721253e-20,0.3663873399972125,8.48369178939726
1e+19,0.0001477628358301315,8.820049782040648,3.651439440469958e-20,0.3651439440469958,8.454905837993653
1e+19,0.0001522680183094813,8.790020567943113,3.6390054809677905e-20,0.3639005480967791,8.426120019846334
1e+19,0.0001569105605590212,8.759991491163515,3.6265715214656225e-20,0.36265715214656224,8.397334339016952
1e+19,0.00016169465057924893,8.729962555887267,3.6141375619634545e-20,0.36141375619634547,8.368548799690922
1e+19,0.00016662460405978218,8.699933766427312,3.6017036024612865e-20,0.36017036024612864,8.339763406181184
1e+19,0.00017170486827250837,8.669905127227999,3.5892696429591185e-20,0.35892696429591187,8.310978162932088
1e+19,0.0001769400260834324,8.639876642869092,3.5768356834569504e-20,0.35768356834569504,8.282193074523397
1e+19,0.00018233480008684403,8.609848318069897,3.564401723954783e-20,0.3564401723954783,8.253408145674419
1e+19,0.00018789405686553344,8.579820157693497,3.551967764452615e-20,0.3551967764452615,8.224623381248236
1e+19,0.00019362281138089561,8.549792166751143,3.539533804950447e-20,0.3539533804950447,8.195838786256099
1e+19,0.00019952623149688788,8.519764350406755,3.5270998454482796e-20,0.35270998454482794,8.167054365861926
1e+19,0.0002056096426419195,8.489736713981575,3.5146658859461116e-20,0.35146658859461116,8.138270125386963
1e+19,0.00021187853261287723,8.459709262958954,3.5022319264439436e-20,0.35022319264439433,8.10948607031456
1e+19,0.00021833855652562368,8.42968200298929,3.4897979669417755e-20,0.34897979669417756,8.080702206295113
1e+19,0.0002249955419164334,8.399654939895104,3.477364007439608e-20,0.34773640074396084,8.051918539151144
1e+19,0.00023185549399896554,8.369628079676286,3.46493004793744e-20,0.346493004793744,8.023135074882541
1e+19,0.00023892460108152012,8.339601428515493,3.452496088435273e-20,0.3452496088435273,7.994351819671966
1e+19,0.00024620924014946254,8.309574992783707,3.4400621289331047e-20,0.34400621289331046,7.965568779890397
1e+19,0.0002537159826178501,8.27954877904597,3.4276281694309367e-20,0.3427628169430937,7.936785962102875
1e+19,0.0002614516002594538,8.249522794067284,3.4151942099287687e-20,0.34151942099287685,7.908003373074407
1e+19,0.0002694230713135218,8.219497044818704,3.4027602504266006e-20,0.3402760250426601,7.879221019776044
1e+19,0.0002776375867807921,8.189471538483595,3.3903262909244326e-20,0.33903262909244325,7.850438909391151
1e+19,0.0002861025569104376,8.159446282464106,3.377892331422265e-20,0.33778923314222653,7.82165704932188
1e+19,0.00029482561788479457,8.12942128438781,3.365458371920097e-20,0.3365458371920097,7.7928754471958
