epsilon,S(epsilon),E_disc,lambda*E_disc,L(epsilon)
0.0001,9.210440366976517,3.81308091399814e-20,3.8130809139981396,5.397359452978377
0.00010304892800279572,9.18040969699074,3.800646954495972e-20,3.8006469544959725,5.379762742494767
0.00010619081562525365,9.150379119945423,3.788212994993804e-20,3.7882129949938044,5.362166124951619
0.0001094284971392492,9.12034863867365,3.775779035491636e-20,3.7757790354916363,5.3445696031820145
0.00011276489323156629,9.09031825609485,3.763345075989468e-20,3.763345075989468,5.326973180105382
0.00011620301363862609,9.060287975217424,3.750911116487301e-20,3.750911116487301,5.309376858730123
0.0001197459598615467,9.030257799141449,3.738477156985133e-20,3.738477156985133,5.291780642156316
0.00012339692796398192,9.00022773106148,3.726043197482965e-20,3.726043197482965,5.274184533578516
0.0001271592114552653,8.97019777426943,3.7136092379807974e-20,3.7136092379807972,5.256588536288632
0.00013103620426145913,8.94016793215752,3.7011752784786294e-20,3.7011752784786296,5.23899265367889
0.00013503140378698736,8.910138208221348,3.6887413189764614e-20,3.6887413189764615,5.221396889244886
0.00013914841406961683,8.880108606063038,3.6763073594742933e-20,3.6763073594742934,5.203801246588744
0.00014339094903163154,8.850079129394473,3.6638733999721253e-20,3.6638733999721254,5.186205729422348
0.0001477628358301315,8.820049782040648,3.651439440469958e-20,3.6514394404699577,5.168610341570691
0.0001522680183094813,8.790020567943113,3.6390054809677905e-20,3.6390054809677905,5.151015086975322
0.0001569105605590212,8.759991491163515,3.6265715214656225e-20,3.6265715214656224,5.133419969697892
0.00016169465057924893,8.729962555887267,3.6141375619634545e-20,3.6141375619634544,5.1158249939238125
0.00016662460405978218,8.699933766427312,3.6017036024612865e-20,3.6017036024612863,5.098230163966026
0.00017170486827250837,8.669905127227999,3.5892696429591185e-20,3.5892696429591187,5.08063548426888
0.0001769400260834324,8.639876642869092,3.5768356834569504e-20,3.5768356834569506,5.063040959412142
0.00018233480008684403,8.609848318069897,3.564401723954783e-20,3.564401723954783,5.0454465941151145
0.00018789405686553344,8.579820157693497,3.551967764452615e-20,3.551967764452615,5.027852393240883
0.00019362281138089561,8.549792166751143,3.539533804950447e-20,3.539533804950447,5.010258361800696
0.00019952623149688788,8.519764350406755,3.5270998454482796e-20,3.5270998454482796,4.992664504958475
0.0002056096426419195,8.489736713981575,3.5146658859461116e-20,3.5146658859461115,4.975070828035463
0.00021187853261287723,8.459709262958954,3.5022319264439436e-20,3.5022319264439434,4.95747733651501
0.00021833855652562368,8.42968200298929,3.4897979669417755e-20,3.4897979669417754,4.9398840360475145
0.0002249955419164334,8.399654939895104,3.477364007439608e-20,3.477364007439608,4.922290932455496
0.00023185549399896554,8.369628079676286,3.46493004793744e-20,3.46493004793744,4.904698031738846
0.00023892460108152012,8.339601428515493,3.452496088435273e-20,3.452496088435273,4.88710534008022
0.00024620924014946254,8.309574992783707,3.4400621289331047e-20,3.440062128933105,4.869512863850602
0.0002537159826178501,8.27954877904597,3.4276281694309367e-20,3.4276281694309367,4.851920609615032
0.0002614516002594538,8.249522794067284,3.4151942099287687e-20,3.4151942099287687,4.834328584138515
0.0002694230713135218,8.219497044818704,3.4027602504266006e-20,3.4027602504266006,4.816736794392103
0.0002776375867807921,8.189471538483595,3.3903262909244326e-20,3.3903262909244325,4.799145247559162
0.0002861025569104376,8.159446282464106,3.377892331422265e-20,3.3778923314222653,4.781553951041841
0.00029482561788479457,8.12942128438781,3.365458371920097e-20,3.3654583719200972,4.763962912467713
0.0003038146387078996,8.099396552114573,3.35302441241793e-20,3.3530244124179296,4.746372139696644
0.0003130777283040571,8.069372093743615,3.340590452915762e-20,3.340590452915762,4.728781640827853
0.00032262324283283616,8.039347917620791,3.3281564934135944e-20,3.3281564934135943,4.711191424207197
0.00033245979322709415,8.009324032346091,3.315722533911426e-20,3.315722533911426,4.693601498434665
0.00034259625296083145,7.979300446781371,3.3032885744092583e-20,3.303288574409258,4.676011872372113
0.0003530417660538831,7.949277170058309,3.2908546149070903e-20,3.2908546149070905,4.658422555151219
0.00036380575532066455,7.919254211586619,3.2784206554049223e-20,3.2784206554049224,4.640833556181697
0.0003748979308704188,7.889231581062495,3.265986695902754e-20,3.2659866959027544,4.623244885159741
0.00038632829886662835,7.859209288477329,3.253552736400587e-20,3.2535527364005867,4.605656552076742
0.00039810717055349735,7.829187344126675,3.241118776898419e-20,3.2411187768984187,4.588068567228256
0.0004102451715576402,7.799165758619501,3.228684817396251e-20,3.228684817396251,4.57048094122325
0.00042275325147337847,7.76914454288771,3.216250857894083e-20,3.216250857894083,4.552893684993627
0.00043564269374027977,7.739123708195957,3.203816898391915e-20,3.203816898391915,4.535306809804043
0.00044892512582186077,7.709103266151759,3.1913829388897474e-20,3.1913829388897472,4.517720327262012
0.0004626125296946289,7.679083228715913,3.17894897938758e-20,3.17894897938758,4.500134249328333
0.0004767172526569302,7.649063608213221,3.166515019885412e-20,3.166515019885412,4.482548588327809
0.0004912520184673452,7.619044417343562,3.1540810603832446e-20,3.1540810603832448,4.464963356960317
0.0005062299388226953,7.589025669193268,3.1416471008810766e-20,3.1416471008810767,4.447378568312192
0.0005216645251859962,7.559007377246874,3.129213141378908e-20,3.129213141378908,4.429794235867966
0.0005375697009750434,7.528989555399198,3.11677918187674e-20,3.11677918187674,4.412210373522457
0.0005539598141226161,7.49897221796781,3.1043452223745725e-20,3.1043452223745724,4.394626995593238
0.0005708496500196358,7.468955379705852,3.0919112628724045e-20,3.0919112628724044,4.3770441168334475
