step,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,kinetic,potential,lagrangian,action
0,0.05,0.0,1.0,0.0,0.0,0.0,0.5,0.0012500000000000002,0.50125,0.0250625
1,0.09987499999999996,0.0,0.9974999999999992,0.0,-0.050000000000017475,0.0,0.49750312499999916,0.0049875078124999965,0.5024906328124992,0.05018703164062496
2,0.14950031249999995,0.0,0.9925062499999996,0.0,-0.09987499999999232,0.0,0.49253432814453085,0.011175171718798822,0.5037094998633297,0.07537250663379144
3,0.19875187421874949,0.0,0.9850312343749906,0.0,-0.14950031250017884,0.0,0.4851432663471589,0.019751153752732807,0.5048944200998917,0.10061722763878603
4,0.24750655625195153,0.0,0.9750936406640407,0.0,-0.19875187421899973,0.0,0.47540380403172666,0.030629747693850223,0.5060335517255768,0.12591890522506488
5,0.295642471894523,0.0,0.9627183128514283,0.0,-0.24750655625224713,0.0,0.46341327494975026,0.0437022355939519,0.5071155105437022,0.15127468075224998
6,0.34303928135735706,0.0,0.9479361892566813,0.0,-0.29564247189493853,0.0,0.44929150945123936,0.05883797427708599,0.5081294837283253,0.17668115493866626
7,0.3895784926167964,0.0,0.9307842251887865,0.0,-0.3430392813578986,0.0,0.4331796369301448,0.07588570095478764,0.5090653378849324,0.20213442183291289
8,0.4351437576446934,0.0,0.911305300557939,0.0,-0.3895784926169487,0.0,0.41523867541249776,0.09467504490857181,0.5099137203210695,0.22763010784896637
9,0.47962116327847687,0.0,0.8895481126756695,0.0,-0.43514375764538976,0.0,0.39564792238242275,0.11501823013229968,0.5106661525147225,0.2531634154747025
10,0.522899516004063,0.0,0.8655670545117242,0.0,-0.47962116327890375,0.0,0.37460316292805107,0.1367119519186417,0.5113151148466928,0.27872917121703716
11,0.5648706199396443,0.0,0.839422078711625,0.0,-0.5228995160019845,0.0,0.35231471311427276,0.159539408635499,0.5118541217497717,0.30432187730452576
12,0.6054295473253821,0.0,0.8111785477147563,0.0,-0.5648706199373743,0.0,0.32900531813631056,0.18327246838730857,0.5122777865236191,0.32993576663070673
13,0.6444749008428148,0.0,0.7809070703486529,0.0,-0.6054295473220672,0.0,0.304907926260258,0.20767394890817797,0.5125818751684359,0.35556486038912855
14,0.6819090671081461,0.0,0.748683325306627,0.0,-0.6444749008405193,0.0,0.2802633607960943,0.23249998790215107,0.5127633486982454,0.3812030278240408
15,0.7176384607057161,0.0,0.7145878719514007,0.0,-0.6819090671045246,0.0,0.25531791337001575,0.25750248014203486,0.5128203935120506,0.4068440474996433
16,0.7515737581515266,0.0,0.6787059489162093,0.0,-0.7176384607038288,0.0,0.23032088254712604,0.2824315569710047,0.5127524395181308,0.43248166947554983
17,0.7836301212019666,0.0,0.6411272610088012,0.0,-0.7515737581481606,0.0,0.20552208240432376,0.30703808342750444,0.5125601658318282,0.45810967776714123
18,0.8137274089494109,0.0,0.6019457549488858,0.0,-0.7836301211983087,0.0,0.18116934595049203,0.33107614803776086,0.5122454939882529,0.48372195246655386
19,0.841790378174489,0.0,0.5612593845015621,0.0,-0.813727408946474,0.0,0.15750604834553616,0.3543055203935746,0.5118115687391107,0.5093125309035094
20,0.8677488714541424,0.0,0.5191698655930674,0.0,-0.8417903781698931,0.0,0.13476867466996184,0.3764940519549688,0.5112627266249307,0.5348756672347559
21,0.8915379925551712,0.0,0.4757824220205773,0.0,-0.8677488714498026,0.0,0.11318445655188336,0.3974199960846522,0.5106044526365356,0.5604058898665827
22,0.9130982686748236,0.0,0.43120552239304755,0.0,-0.891537992550595,0.0,0.09296910127113052,0.41687422412848013,0.5098433253996106,0.5858980561365632
23,0.9323757991227994,0.0,0.3855506089595182,0.0,-0.9130982686705867,0.0,0.07432463603452766,0.43466231539493944,0.5089869514294671,0.6113474037080365
24,0.9493223900729815,0.0,0.33893181900364144,0.0,-0.9323757991175351,0.0,0.05743738896655858,0.450606500146939,0.5080438891134975,0.6367495981637115
25,0.9638956750479878,0.0,0.29146569950012724,0.0,-0.949322390070284,0.0,0.04247612699254923,0.464547436188108,0.5070235631806572,0.6621007763227443
26,0.9760592208353853,0.0,0.24327091574795157,0.0,-0.9638956750435134,0.0,0.029590369224423475,0.47634580128888976,0.5059361705133132,0.68739758484841
27,0.9857826185707059,0.0,0.19446795470641298,0.0,-0.9760592208307716,0.0,0.018908892703847744,0.48588368553805894,0.5047925782419067,0.7126372137605053
28,0.9930415597596072,0.0,0.14517882377802582,0.0,-0.9857826185677431,0.0,0.010538445436785539,0.49306576970489674,0.5036042151416823,0.7378174245175894
29,0.9978178970491215,0.0,0.0955267457902873,0.0,-0.9930415597547703,0.0,0.0045626795806410865,0.4978202778357656,0.5023829574164067,0.7629365723884097
30,1.000099689596025,0.0,0.04563585093807032,0.0,-0.9978178970443395,0.0,0.001041315445420887,0.5000996945650328,0.5011410100104536,0.7879936228889324
31,0.9998812329189235,0.0,-0.004369133542030612,0.0,-1.0000996896020187,0.0,9.544663954048481e-06,0.4998812399717333,0.4998907846356873,0.8129881621207168
32,0.9971630731595321,0.0,-0.05436319518782784,0.0,-0.9998812329159444,0.0,0.001477678495514934,0.4971670972364812,0.49864477573199617,0.8379204009073166
33,0.9919520057172537,0.0,-0.104221348845567,0.0,-0.997163073154783,0.0,0.005431044777594684,0.4919843908232413,0.497415435600836,0.8627911726873584
34,0.984261058260692,0.0,-0.15381894913123384,0.0,-0.9919520057133367,0.0,0.011830134555918552,0.4843849154042287,0.4962150499601472,0.8876019251853657
35,0.9741094581584956,0.0,-0.20303200204392824,0.0,-0.9842610582538879,0.0,0.02061099692698284,0.4744446182369189,0.49505561516390173,0.9123547059435608
36,0.961522584410913,0.0,-0.2517374749516512,0.0,-0.9741094581544595,0.0,0.03168587814751661,0.4622628401661206,0.49394871831363724,0.9370521418592427
37,0.9465319042023164,0.0,-0.2998136041719326,0.0,-0.9615225844056273,0.0,0.044944098623282136,0.44796132283643153,0.49290542145971367,0.9616974129322283
38,0.9291748942332263,0.0,-0.3471401993818004,0.0,-0.9465319041973562,0.0,0.06025315901341807,0.43168299203666366,0.4919361510500817,0.9862942204847324
39,0.9094949470285634,0.0,-0.3935989440932588,0.0,-0.9291748942291677,0.0,0.07746006439566414,0.41359052933524465,0.49105059373090876,1.010846750171278
40,0.8875412624563405,0.0,-0.4390736914444573,0.0,-0.9094949470239698,0.0,0.09639285325933124,0.3938647462812973,0.49025759954062853,1.0353596301483092
41,0.8633687247279902,0.0,-0.48345075456700437,0.0,-0.8875412624509414,0.0,0.11686231604570295,0.37270277741921803,0.489565093464921,1.0598378848215553
